BENC	FRAF	FRAM	FRAT	GABF	GABM	GABN	GERC	IRAA	ITAC	LEBE	MALB	MORC	MORT	NIGN	SEND	SENK	SENS	SPAC	TUNB	USAF	OUTGROUP
0,32	0,32	0,16	0,32	7,17	0,32	0,12	0,22	0,16	0,30	0,20	0,42	0,12	0,36	12,18	0,38	1,41	0,38	0,16	0,30	0,8	16,0
8,24	4,28	0,16	0,32	0,24	13,19	2,10	0,22	0,16	1,29	0,20	7,35	3,9	0,36	0,30	0,38	0,42	0,38	15,1	0,30	0,8	5,11
8,24	7,25	3,13	19,13	13,11	7,25	7,5	15,7	1,15	6,24	5,15	18,24	1,11	5,31	0,30	27,11	22,20	17,21	0,16	11,19	5,3	0,16
0,32	0,32	0,16	0,32	4,20	0,32	0,12	0,22	0,16	0,30	0,20	1,41	0,12	0,36	15,15	0,38	0,42	0,38	0,16	0,30	0,8	16,0
2,30	12,20	14,2	3,29	5,19	3,29	3,9	5,17	5,11	3,27	0,20	14,28	1,11	0,36	1,29	19,19	19,23	20,18	5,11	17,13	1,7	0,16
23,9	11,21	6,10	14,18	22,2	22,10	8,4	10,12	12,4	26,4	17,3	18,24	4,8	35,1	30,0	19,19	32,10	17,21	4,12	18,12	4,4	16,0
0,32	0,32	0,16	0,32	1,23	10,22	0,12	7,15	0,16	0,30	6,14	0,42	3,9	27,9	16,14	0,38	0,42	0,38	0,16	4,26	0,8	0,16
20,12	7,25	0,16	9,23	0,24	21,11	4,8	5,17	7,9	1,29	0,20	17,25	7,5	1,35	11,19	13,25	11,31	27,11	0,16	7,23	5,3	16,0
6,26	0,32	0,16	0,32	5,19	0,32	0,12	3,19	0,16	3,27	9,11	0,42	0,12	0,36	10,20	0,38	0,42	5,33	0,16	0,30	0,8	16,0
1,31	1,31	0,16	0,32	10,14	0,32	0,12	0,22	0,16	1,29	0,20	9,33	0,12	0,36	0,30	1,37	9,33	1,37	0,16	0,30	2,6	0,16
19,13	3,29	4,12	1,31	0,24	21,11	3,9	0,22	10,6	14,16	6,14	3,39	1,11	0,36	9,21	0,38	0,42	0,38	0,16	8,22	1,7	16,0
1,31	0,32	0,16	0,32	1,23	2,30	0,12	5,17	0,16	0,30	0,20	0,42	0,12	0,36	0,30	18,20	0,42	1,37	0,16	0,30	1,7	0,16
29,3	31,1	5,11	32,0	10,14	25,7	4,8	4,18	12,4	29,1	12,8	25,17	9,3	17,19	30,0	5,33	22,20	19,19	14,2	18,12	5,3	16,0
14,18	27,5	7,9	26,6	9,15	31,1	2,10	7,15	15,1	30,0	12,8	28,14	12,0	27,9	30,0	27,11	14,28	17,21	16,0	24,6	5,3	16,0
3,29	3,29	0,16	9,23	3,21	18,14	1,11	0,22	0,16	5,25	0,20	5,37	0,12	4,32	25,5	2,36	1,41	1,37	7,9	3,27	0,8	0,16
8,24	11,21	10,6	27,5	8,16	29,3	0,12	5,17	0,16	11,19	2,18	8,34	9,3	11,25	26,4	2,36	10,32	16,22	15,1	12,18	4,4	16,0
8,24	0,32	0,16	0,32	9,15	0,32	0,12	0,22	0,16	0,30	2,18	4,38	6,6	4,32	14,16	0,38	0,42	0,38	0,16	1,29	0,8	16,0
16,16	7,25	0,16	6,26	8,16	0,32	0,12	0,22	11,5	9,21	5,15	10,32	11,1	24,12	11,19	20,18	5,37	13,25	0,16	12,18	2,6	16,0
1,31	7,25	1,15	0,32	0,24	0,32	0,12	1,21	0,16	0,30	0,20	7,35	0,12	0,36	0,30	10,28	18,24	1,37	0,16	1,29	0,8	0,16
0,32	0,32	0,16	0,32	0,24	0,32	0,12	0,22	0,16	0,30	0,20	0,42	0,12	0,36	23,7	0,38	0,42	0,38	0,16	0,30	0,8	16,0
0,32	2,30	0,16	5,27	10,14	0,32	2,10	1,21	0,16	7,23	4,16	0,42	0,12	0,36	0,30	0,38	0,42	6,32	1,15	1,29	0,8	0,16
0,32	0,32	0,16	0,32	0,24	0,32	0,12	0,22	0,16	0,30	0,20	0,42	0,12	1,35	14,16	0,38	0,42	0,38	0,16	0,30	0,8	16,0
3,29	0,32	0,16	5,27	1,23	0,32	0,12	5,17	0,16	3,27	1,19	11,31	4,8	0,36	0,30	1,37	3,39	0,38	0,16	0,30	1,7	16,0
25,7	13,19	2,14	9,23	23,1	0,32	12,0	7,15	2,14	22,8	0,20	10,32	1,11	4,32	30,0	12,26	19,23	14,24	12,4	18,12	5,3	16,0
0,32	3,29	1,15	7,25	0,24	0,32	0,12	0,22	2,14	0,30	1,19	1,41	0,12	0,36	0,30	1,37	0,42	0,38	0,16	0,30	0,8	16,0
1,31	18,14	4,12	4,28	5,19	0,32	0,12	1,21	5,11	0,30	2,18	5,37	2,10	25,11	0,30	3,35	0,42	4,34	13,3	0,30	0,8	0,16
11,21	14,18	4,12	0,32	1,23	7,25	0,12	3,19	6,10	0,30	15,5	2,40	0,12	11,25	0,30	0,38	3,39	13,25	0,16	1,29	2,6	16,0
1,31	0,32	1,15	1,31	0,24	0,32	0,12	5,17	0,16	7,23	1,19	14,28	3,9	1,35	0,30	1,37	11,31	5,33	0,16	0,30	1,7	0,16
3,29	7,25	9,7	7,25	0,24	3,29	2,10	0,22	1,15	2,28	0,20	0,42	0,12	0,36	1,29	2,36	6,36	6,32	0,16	8,22	3,5	0,16
0,32	4,28	0,16	10,22	0,24	0,32	0,12	1,21	6,10	0,30	9,11	11,31	0,12	0,36	10,20	1,37	9,33	0,38	0,16	5,25	0,8	0,16
24,8	22,10	4,12	29,3	15,9	4,28	0,12	2,20	10,6	6,24	19,1	33,9	11,1	36,0	5,25	19,19	32,10	19,19	0,16	19,11	7,1	16,0
0,32	0,32	0,16	0,32	7,17	0,32	3,9	1,21	1,15	0,30	0,20	0,42	0,12	0,36	19,11	0,38	3,39	3,35	0,16	0,30	0,8	0,16
0,32	0,32	0,16	0,32	0,24	0,32	0,12	0,22	0,16	0,30	0,20	1,41	0,12	0,36	13,17	0,38	0,42	0,38	0,16	0,30	0,8	16,0
1,31	15,17	12,4	27,5	3,21	5,27	1,11	5,17	8,8	26,4	4,16	11,31	0,12	0,36	2,28	13,25	7,35	20,18	0,16	20,10	3,5	0,16
12,20	1,31	0,16	0,32	0,24	1,31	0,12	0,22	0,16	0,30	0,20	1,41	0,12	0,36	14,16	0,38	9,33	0,38	0,16	0,30	0,8	0,16
14,18	32,0	16,0	32,0	24,0	31,1	12,0	18,4	15,1	30,0	15,5	23,19	7,5	36,0	30,0	33,5	27,15	30,8	16,0	26,4	6,2	0,16
5,27	7,25	2,14	0,32	0,24	0,32	0,12	0,22	8,8	8,22	2,18	2,40	7,5	14,22	15,15	0,38	0,42	2,36	0,16	2,28	2,6	0,16
12,20	26,6	16,0	32,0	12,12	27,5	4,8	15,7	15,1	29,1	20,0	28,14	12,0	36,0	10,20	32,6	31,11	29,9	16,0	14,16	5,3	16,0
0,32	0,32	0,16	1,31	17,7	16,16	5,7	7,15	2,14	4,26	2,18	11,31	1,11	3,33	0,30	0,38	17,25	6,32	7,9	4,26	1,7	16,0
6,26	3,29	2,14	0,32	10,14	0,32	2,10	4,18	2,14	0,30	5,15	0,42	4,8	0,36	6,24	0,38	0,42	1,37	0,16	3,27	0,8	0,16
15,17	12,20	12,4	30,2	18,6	19,13	8,4	1,21	15,1	30,0	20,0	13,29	6,6	10,26	25,5	23,15	28,14	24,14	12,4	20,10	3,5	0,16
7,25	0,32	0,16	4,28	0,24	0,32	0,12	0,22	0,16	0,30	0,20	5,37	11,1	6,30	0,30	1,37	0,42	7,31	0,16	0,30	0,8	0,16
14,18	32,0	16,0	17,15	23,1	31,1	9,3	11,11	15,1	30,0	20,0	23,19	9,3	12,24	29,1	31,7	7,35	27,11	7,9	30,0	8,0	0,16
1,31	0,32	0,16	0,32	0,24	0,32	1,11	0,22	3,13	1,29	6,14	0,42	1,11	0,36	19,11	0,38	2,40	1,37	0,16	8,22	0,8	16,0
0,32	4,28	10,6	0,32	0,24	0,32	0,12	0,22	1,15	0,30	5,15	4,38	1,11	0,36	12,18	0,38	0,42	0,38	0,16	1,29	0,8	4,12
15,17	22,10	11,5	26,6	3,21	8,24	3,9	14,8	4,12	24,6	5,15	27,15	0,12	0,36	6,24	18,20	25,17	20,18	16,0	14,16	2,6	0,16
0,32	0,32	0,16	1,31	1,23	21,11	2,10	0,22	1,15	1,29	0,20	0,42	5,7	1,35	4,26	2,36	1,41	1,37	1,15	1,29	0,8	0,16
0,32	12,20	2,14	5,27	3,21	23,9	3,9	1,21	9,7	1,29	6,14	0,42	6,6	0,36	17,13	11,27	0,42	4,34	9,7	11,19	4,4	16,0
1,31	0,32	0,16	0,32	0,24	0,32	0,12	0,22	5,11	1,29	7,13	0,42	2,10	26,10	0,30	0,38	3,39	0,38	0,16	0,30	0,8	16,0
6,26	3,29	4,12	0,32	0,24	0,32	0,12	0,22	3,13	0,30	0,20	1,41	9,3	33,3	12,18	0,38	0,42	1,37	0,16	1,29	1,7	0,16
18,14	0,32	6,10	14,18	4,20	31,1	6,6	13,9	11,5	5,25	4,16	5,37	5,7	4,32	1,29	6,32	5,37	3,35	0,16	16,14	4,4	14,2
1,31	9,23	1,15	0,32	7,17	0,32	0,12	1,21	0,16	0,30	0,20	8,34	2,10	0,36	0,30	0,38	1,41	0,38	4,12	11,19	3,5	16,0
27,5	6,26	4,12	7,25	21,3	9,23	9,3	15,7	11,5	5,25	2,18	21,21	6,6	31,5	12,18	21,17	23,19	13,25	16,0	21,9	4,4	16,0
6,26	0,32	3,13	0,32	0,24	0,32	0,12	0,22	0,16	0,30	5,15	0,42	3,9	3,33	0,30	0,38	0,42	0,38	0,16	1,29	0,8	16,0
3,29	2,30	4,12	0,32	2,22	1,31	0,12	1,21	9,7	3,27	2,18	11,31	2,10	3,33	0,30	12,26	9,33	8,30	0,16	3,27	0,8	0,16
12,20	0,32	2,14	0,32	0,24	4,28	0,12	1,21	2,14	0,30	0,20	1,41	0,12	0,36	0,30	10,28	0,42	0,38	0,16	1,29	0,8	0,16
1,31	1,31	1,15	0,32	6,18	24,8	3,9	0,22	4,12	0,30	6,14	6,36	1,11	0,36	0,30	3,35	0,42	6,32	0,16	12,18	0,8	16,0
0,32	1,31	1,15	8,24	1,23	1,31	1,11	1,21	0,16	2,28	0,20	3,39	3,9	27,9	4,26	5,33	5,37	1,37	14,2	0,30	2,6	0,16
1,31	5,27	1,15	16,16	0,24	0,32	5,7	4,18	11,5	9,21	1,19	6,36	0,12	1,35	0,30	10,28	9,33	3,35	2,14	0,30	1,7	16,0
5,27	13,19	3,13	21,11	15,9	29,3	9,3	0,22	0,16	27,3	0,20	3,39	0,12	4,32	14,16	0,38	1,41	1,37	0,16	10,20	0,8	16,0
0,32	0,32	0,16	0,32	0,24	0,32	0,12	0,22	1,15	0,30	2,18	7,35	0,12	0,36	0,30	0,38	0,42	0,38	0,16	9,21	0,8	16,0
0,32	0,32	2,14	0,32	7,17	0,32	0,12	1,21	0,16	0,30	0,20	0,42	4,8	34,2	0,30	0,38	3,39	2,36	16,0	1,29	1,7	16,0
22,10	24,8	16,0	17,15	6,18	3,29	6,6	11,11	8,8	28,2	10,10	37,5	2,10	0,36	16,14	12,26	28,14	19,19	12,4	17,13	4,4	16,0
3,29	8,24	4,12	12,20	0,24	1,31	3,9	9,13	0,16	12,18	0,20	5,37	2,10	0,36	21,9	10,28	3,39	2,36	0,16	5,25	0,8	0,16
23,9	26,6	4,12	32,0	21,3	26,6	8,4	1,21	0,16	15,15	0,20	36,6	10,2	36,0	0,30	6,32	26,16	27,11	2,14	21,9	4,4	0,16
6,26	9,23	7,9	9,23	1,23	1,31	1,11	6,16	4,12	2,28	2,18	13,29	0,12	0,36	0,30	11,27	14,28	9,29	0,16	0,30	4,4	11,5
7,25	9,23	1,15	0,32	0,24	0,32	0,12	0,22	0,16	9,21	0,20	0,42	1,11	0,36	14,16	1,37	1,41	12,26	0,16	21,9	2,6	0,16
0,32	7,25	1,15	0,32	1,23	0,32	0,12	0,22	1,15	0,30	0,20	0,42	0,12	0,36	0,30	0,38	0,42	0,38	0,16	4,26	0,8	16,0
0,32	0,32	1,15	0,32	0,24	0,32	0,12	0,22	10,6	0,30	0,20	0,42	0,12	0,36	0,30	0,38	0,42	0,38	3,13	0,30	0,8	16,0
0,32	0,32	0,16	0,32	0,24	0,32	0,12	0,22	0,16	0,30	2,18	2,40	0,12	0,36	0,30	8,30	4,38	1,37	0,16	0,30	0,8	16,0
0,32	0,32	1,15	0,32	7,17	0,32	0,12	0,22	8,8	0,30	0,20	6,36	1,11	0,36	1,29	14,24	2,40	10,28	0,16	0,30	0,8	0,16
0,32	0,32	0,16	11,21	0,24	0,32	1,11	1,21	1,15	0,30	0,20	6,36	0,12	15,21	0,30	0,38	2,40	6,32	0,16	5,25	1,7	16,0
32,0	30,2	15,1	29,3	18,6	31,1	11,1	21,1	16,0	30,0	10,10	19,23	5,7	0,36	22,8	26,12	41,1	28,10	16,0	29,1	2,6	16,0
0,32	9,23	16,0	13,19	0,24	2,30	0,12	0,22	7,9	2,28	1,19	9,33	0,12	0,36	0,30	16,22	12,30	4,34	0,16	1,29	0,8	0,16
2,30	9,23	10,6	21,11	0,24	1,31	1,11	1,21	3,13	9,21	8,12	7,35	2,10	18,18	0,30	0,38	1,41	5,33	0,16	11,19	2,6	0,16
22,10	29,3	13,3	31,1	16,8	9,23	12,0	22,0	6,10	12,18	15,5	13,29	1,11	0,36	1,29	16,22	1,41	19,19	0,16	16,14	6,2	0,16
0,32	9,23	0,16	0,32	0,24	3,29	0,12	0,22	1,15	0,30	0,20	0,42	0,12	0,36	8,22	0,38	0,42	4,34	14,2	7,23	0,8	0,16
17,15	8,24	3,13	19,13	9,15	11,21	4,8	11,11	6,10	8,22	5,15	14,28	3,9	11,25	13,17	23,15	22,20	19,19	7,9	7,23	3,5	4,12
14,18	11,21	2,14	0,32	9,15	13,19	8,4	12,10	2,14	11,19	13,7	1,41	0,12	2,34	0,30	9,29	0,42	8,30	0,16	4,26	1,7	0,16
10,22	8,24	6,10	1,31	6,18	15,17	7,5	4,18	9,7	23,7	1,19	19,23	5,7	19,17	15,15	0,38	16,26	11,27	0,16	15,15	1,7	16,0
15,17	7,25	7,9	12,20	15,9	22,10	1,11	4,18	6,10	9,21	9,11	1,41	8,4	28,8	10,20	1,37	2,40	10,28	15,1	2,28	0,8	0,16
3,29	0,32	1,15	0,32	0,24	0,32	0,12	0,22	4,12	5,25	0,20	0,42	0,12	0,36	0,30	0,38	1,41	0,38	0,16	0,30	0,8	15,1
8,24	13,19	9,7	5,27	21,3	32,0	11,1	10,12	4,12	28,2	2,18	21,21	3,9	12,24	26,4	0,38	29,13	15,23	0,16	23,7	1,7	16,0
14,18	21,11	15,1	32,0	15,9	32,0	12,0	17,5	10,6	16,14	4,16	20,22	3,9	3,33	1,29	5,33	24,18	22,16	0,16	16,14	5,3	16,0
26,6	17,15	14,2	32,0	18,6	16,16	11,1	22,0	11,5	25,5	5,15	21,21	0,12	0,36	2,28	35,3	25,17	31,7	16,0	30,0	2,6	16,0
32,0	18,14	13,3	32,0	18,6	22,10	8,4	22,0	5,11	30,0	16,4	42,0	2,10	1,35	30,0	38,0	39,3	29,9	12,4	17,13	6,2	16,0
1,31	5,27	1,15	0,32	0,24	2,30	0,12	0,22	1,15	0,30	5,15	0,42	0,12	15,21	0,30	0,38	5,37	2,36	0,16	0,30	1,7	16,0
4,28	1,31	3,13	0,32	0,24	0,32	0,12	0,22	11,5	0,30	10,10	0,42	0,12	0,36	0,30	0,38	0,42	0,38	0,16	0,30	0,8	0,16
11,21	12,20	2,14	10,22	13,11	7,25	12,0	12,10	0,16	4,26	4,16	4,38	3,9	1,35	29,1	1,37	6,36	0,38	15,1	9,21	0,8	0,16
12,20	32,0	16,0	32,0	24,0	29,3	12,0	20,2	15,1	29,1	15,5	18,24	12,0	36,0	30,0	37,1	26,16	15,23	16,0	29,1	6,2	0,16
3,29	0,32	0,16	0,32	0,24	0,32	0,12	0,22	2,14	1,29	0,20	0,42	4,8	28,8	0,30	0,38	0,42	0,38	0,16	0,30	0,8	0,16
2,30	11,21	3,13	15,17	10,14	0,32	0,12	0,22	15,1	4,26	10,10	18,24	1,11	0,36	0,30	26,12	20,22	14,24	0,16	0,30	1,7	15,1
4,28	1,31	0,16	0,32	1,23	1,31	1,11	0,22	3,13	1,29	2,18	3,39	0,12	0,36	2,28	2,36	2,40	2,36	3,13	4,26	0,8	0,16
2,30	2,30	6,10	0,32	13,11	3,29	2,10	7,15	3,13	0,30	3,17	23,19	0,12	0,36	27,3	27,11	15,27	20,18	0,16	11,19	3,5	0,16
0,32	11,21	5,11	0,32	6,18	0,32	1,11	0,22	5,11	0,30	5,15	4,38	1,11	0,36	0,30	9,29	0,42	0,38	0,16	1,29	1,7	0,16
16,16	10,22	1,15	15,17	2,22	27,5	2,10	5,17	9,7	28,2	1,19	17,25	5,7	25,11	27,3	37,1	20,22	21,17	16,0	17,13	3,5	0,16
8,24	21,11	9,7	32,0	22,2	26,6	10,2	18,4	5,11	27,3	12,8	28,14	7,5	1,35	30,0	31,7	20,22	29,9	16,0	29,1	7,1	11,5
3,29	4,28	5,11	4,28	7,17	3,29	2,10	3,19	12,4	3,27	14,6	25,17	0,12	0,36	25,5	3,35	16,26	5,33	0,16	12,18	6,2	0,16
23,9	19,13	14,2	4,28	8,16	27,5	10,2	10,12	10,6	18,12	1,19	29,13	11,1	30,6	30,0	33,5	30,12	20,18	16,0	19,11	4,4	16,0
3,29	7,25	3,13	0,32	0,24	0,32	0,12	1,21	12,4	1,29	14,6	6,36	4,8	0,36	0,30	0,38	0,42	1,37	0,16	1,29	0,8	16,0
11,21	5,27	9,7	8,24	14,10	2,30	5,7	11,11	12,4	27,3	11,9	4,38	4,8	11,25	2,28	9,29	13,29	18,20	4,12	25,5	4,4	16,0
9,23	3,29	1,15	0,32	1,23	0,32	1,11	0,22	6,10	0,30	0,20	0,42	0,12	0,36	21,9	0,38	1,41	0,38	0,16	3,27	0,8	0,16
0,32	4,28	3,13	22,10	4,20	7,25	5,7	11,11	1,15	26,4	0,20	2,40	0,12	0,36	0,30	4,34	7,35	15,23	0,16	6,24	1,7	0,16
17,15	23,9	10,6	32,0	16,8	24,8	7,5	16,6	1,15	29,1	13,7	38,4	9,3	36,0	28,2	10,28	32,10	32,6	16,0	20,10	7,1	16,0
9,23	12,20	7,9	32,0	9,15	23,9	11,1	1,21	3,13	22,8	0,20	6,36	9,3	33,3	22,8	5,33	15,27	6,32	12,4	11,19	3,5	0,16
0,32	0,32	0,16	0,32	0,24	0,32	0,12	0,22	12,4	0,30	0,20	0,42	0,12	1,35	0,30	0,38	0,42	0,38	4,12	0,30	0,8	16,0
17,15	25,7	16,0	32,0	5,19	31,1	7,5	6,16	7,9	29,1	10,10	5,37	7,5	16,20	3,27	7,31	11,31	15,23	4,12	22,8	7,1	0,16
0,32	1,31	4,12	0,32	0,24	0,32	0,12	0,22	5,11	0,30	3,17	5,37	3,9	0,36	0,30	0,38	4,38	0,38	0,16	0,30	0,8	16,0
7,25	19,13	15,1	10,22	0,24	3,29	0,12	1,21	0,16	22,8	0,20	5,37	0,12	0,36	0,30	0,38	10,32	7,31	0,16	3,27	4,4	0,16
25,7	28,4	14,2	9,23	23,1	15,17	8,4	5,17	15,1	27,3	11,9	29,13	10,2	35,1	30,0	34,4	28,14	21,17	16,0	29,1	4,4	0,16
1,31	5,27	6,10	14,18	0,24	0,32	0,12	1,21	3,13	3,27	6,14	0,42	0,12	0,36	0,30	0,38	0,42	0,38	0,16	9,21	0,8	16,0
5,27	0,32	0,16	10,22	1,23	0,32	0,12	9,13	2,14	0,30	6,14	4,38	1,11	1,35	10,20	1,37	13,29	10,28	14,2	0,30	1,7	0,16
4,28	13,19	11,5	3,29	1,23	22,10	1,11	0,22	8,8	0,30	9,11	5,37	4,8	1,35	1,29	2,36	3,39	1,37	0,16	13,17	0,8	0,16
0,32	5,27	4,12	0,32	0,24	0,32	0,12	0,22	0,16	0,30	3,17	2,40	7,5	6,30	0,30	12,26	0,42	9,29	0,16	5,25	0,8	0,16
7,25	1,31	3,13	16,16	12,12	7,25	3,9	5,17	0,16	0,30	0,20	1,41	0,12	0,36	2,28	0,38	7,35	12,26	0,16	5,25	7,1	0,16
2,30	15,17	6,10	6,26	7,17	23,9	2,10	4,18	1,15	26,4	1,19	20,22	6,6	32,4	22,8	5,33	29,13	11,27	0,16	21,9	0,8	0,16
2,30	4,28	0,16	0,32	0,24	0,32	0,12	0,22	2,14	24,6	7,13	1,41	0,12	4,32	0,30	0,38	4,38	1,37	0,16	2,28	0,8	0,16
13,19	21,11	10,6	32,0	11,13	26,6	6,6	16,6	12,4	30,0	10,10	25,17	12,0	36,0	11,19	36,2	17,25	25,13	16,0	14,16	1,7	16,0
26,6	10,22	12,4	11,21	17,7	32,0	9,3	19,3	2,14	11,19	1,19	28,14	11,1	36,0	7,23	34,4	20,22	21,17	16,0	14,16	4,4	0,16
1,31	4,28	0,16	0,32	9,15	1,31	1,11	5,17	2,14	23,7	3,17	1,41	1,11	0,36	1,29	0,38	13,29	11,27	0,16	6,24	0,8	16,0
14,18	5,27	6,10	9,23	6,18	23,9	8,4	16,6	4,12	14,16	3,17	13,29	12,0	35,1	7,23	35,3	9,33	19,19	16,0	20,10	2,6	16,0
15,17	12,20	5,11	8,24	17,7	23,9	7,5	18,4	15,1	24,6	13,7	10,32	11,1	35,1	9,21	30,8	21,21	20,18	15,1	21,9	2,6	16,0
19,13	16,16	8,8	27,5	24,0	26,6	11,1	21,1	4,12	30,0	6,14	31,11	12,0	30,6	28,2	35,3	36,6	32,6	16,0	20,10	2,6	0,16
0,32	7,25	1,15	0,32	4,20	0,32	4,8	7,15	0,16	0,30	3,17	16,26	0,12	0,36	3,27	0,38	5,37	4,34	0,16	1,29	0,8	0,16
4,28	9,23	8,8	0,32	5,19	5,27	3,9	0,22	15,1	0,30	11,9	23,19	0,12	0,36	1,29	1,37	15,27	7,31	0,16	3,27	5,3	0,16
5,27	18,14	14,2	28,4	10,14	27,5	4,8	16,6	5,11	30,0	13,7	15,27	3,9	0,36	1,29	32,6	31,11	25,13	14,2	30,0	7,1	16,0
0,32	7,25	6,10	13,19	9,15	28,4	6,6	14,8	6,10	29,1	9,11	14,28	3,9	0,36	2,28	6,32	24,18	14,24	13,3	29,1	5,3	0,16
2,30	2,30	0,16	2,30	0,24	0,32	1,11	1,21	6,10	0,30	1,19	17,25	0,12	0,36	0,30	1,37	12,30	4,34	0,16	2,28	3,5	13,3
24,8	3,29	6,10	15,17	6,18	7,25	5,7	3,19	10,6	1,29	1,19	15,27	0,12	0,36	0,30	4,34	14,28	4,34	8,8	1,29	3,5	0,16
32,0	31,1	16,0	29,3	17,7	29,3	11,1	21,1	13,3	30,0	16,4	29,13	12,0	36,0	26,4	35,3	30,12	35,3	16,0	22,8	4,4	0,16
3,29	20,12	8,8	21,11	6,18	20,12	3,9	21,1	16,0	2,28	19,1	7,35	3,9	3,33	11,19	7,31	17,25	12,26	7,9	17,13	3,5	16,0
3,29	6,26	4,12	0,32	0,24	22,10	2,10	0,22	10,6	1,29	6,14	1,41	0,12	0,36	8,22	0,38	2,40	0,38	5,11	13,17	1,7	16,0
3,29	14,18	0,16	0,32	0,24	0,32	1,11	0,22	1,15	0,30	1,19	1,41	4,8	25,11	7,23	0,38	0,42	0,38	15,1	8,22	2,6	16,0
3,29	0,32	0,16	0,32	0,24	0,32	0,12	0,22	8,8	0,30	3,17	1,41	0,12	0,36	0,30	0,38	0,42	0,38	0,16	1,29	0,8	16,0
17,15	10,22	3,13	1,31	0,24	0,32	1,11	9,13	4,12	1,29	0,20	1,41	3,9	16,20	0,30	0,38	4,38	2,36	0,16	1,29	0,8	16,0
11,21	5,27	0,16	1,31	19,5	0,32	3,9	0,22	3,13	9,21	8,12	0,42	2,10	1,35	30,0	0,38	2,40	0,38	0,16	0,30	0,8	0,16
1,31	0,32	0,16	0,32	0,24	0,32	1,11	0,22	2,14	0,30	0,20	0,42	0,12	1,35	27,3	0,38	0,42	0,38	0,16	0,30	0,8	16,0
21,11	0,32	0,16	5,27	2,22	7,25	3,9	8,14	6,10	0,30	0,20	9,33	0,12	0,36	24,6	37,1	12,30	14,24	0,16	18,12	7,1	0,16
0,32	10,22	0,16	0,32	0,24	0,32	0,12	0,22	1,15	0,30	0,20	1,41	1,11	0,36	1,29	0,38	0,42	0,38	0,16	0,30	0,8	16,0
30,2	30,2	16,0	20,12	22,2	31,1	11,1	14,8	12,4	30,0	20,0	34,8	12,0	34,2	4,26	8,30	26,16	22,16	16,0	30,0	6,2	16,0
9,23	18,14	15,1	22,10	4,20	24,8	11,1	3,19	7,9	29,1	8,12	14,28	8,4	11,25	0,30	7,31	5,37	4,34	13,3	13,17	3,5	16,0
7,25	7,25	9,7	2,30	1,23	5,27	0,12	0,22	4,12	18,12	0,20	29,13	6,6	19,17	0,30	6,32	12,30	14,24	11,5	13,17	2,6	0,16
2,30	2,30	8,8	3,29	19,5	0,32	2,10	0,22	2,14	29,1	0,20	25,17	6,6	5,31	0,30	3,35	6,36	11,27	10,6	9,21	2,6	7,9
23,9	8,24	12,4	1,31	0,24	0,32	0,12	0,22	4,12	20,10	1,19	1,41	0,12	0,36	0,30	0,38	1,41	1,37	0,16	18,12	0,8	16,0
18,14	0,32	0,16	0,32	0,24	1,31	1,11	0,22	0,16	1,29	0,20	0,42	0,12	0,36	0,30	5,33	0,42	4,34	0,16	0,30	0,8	0,16
13,19	1,31	0,16	0,32	0,24	2,30	1,11	0,22	2,14	0,30	9,11	1,41	0,12	0,36	3,27	6,32	0,42	8,30	0,16	0,30	3,5	0,16
32,0	29,3	16,0	28,4	24,0	32,0	7,5	18,4	14,2	30,0	15,5	40,2	12,0	36,0	30,0	38,0	42,0	38,0	16,0	30,0	2,6	16,0
0,32	14,18	0,16	0,32	10,14	1,31	6,6	0,22	10,6	1,29	4,16	40,2	12,0	15,21	30,0	1,37	17,25	20,18	0,16	9,21	1,7	0,16
0,32	0,32	0,16	2,30	9,15	24,8	3,9	5,17	0,16	0,30	0,20	0,42	0,12	0,36	0,30	0,38	3,39	0,38	0,16	0,30	4,4	0,16
1,31	1,31	1,15	0,32	6,18	4,28	0,12	6,16	0,16	1,29	7,13	31,11	0,12	12,24	8,22	2,36	11,31	5,33	2,14	12,18	1,7	0,16
1,31	11,21	6,10	27,5	18,6	29,3	7,5	13,9	15,1	0,30	13,7	33,9	7,5	7,29	22,8	5,33	19,23	17,21	1,15	14,16	8,0	0,16
19,13	3,29	4,12	0,32	0,24	23,9	4,8	6,16	0,16	0,30	11,9	16,26	2,10	0,36	0,30	1,37	15,27	7,31	0,16	3,27	0,8	0,16
1,31	1,31	0,16	19,13	0,24	1,31	1,11	7,15	8,8	0,30	12,8	2,40	0,12	0,36	0,30	0,38	0,42	0,38	0,16	6,24	0,8	0,16
27,5	23,9	7,9	0,32	11,13	7,25	7,5	4,18	15,1	30,0	13,7	28,14	5,7	28,8	30,0	31,7	16,26	10,28	10,6	24,6	2,6	16,0
27,5	32,0	11,5	23,9	24,0	31,1	3,9	16,6	10,6	30,0	17,3	30,12	9,3	36,0	30,0	14,24	25,17	25,13	14,2	28,2	4,4	16,0
19,13	4,28	12,4	10,22	16,8	4,28	1,11	0,22	0,16	26,4	0,20	5,37	2,10	19,17	30,0	30,8	6,36	17,21	16,0	13,17	7,1	0,16
30,2	16,16	9,7	19,13	24,0	31,1	4,8	4,18	5,11	28,2	13,7	41,1	8,4	28,8	30,0	31,7	37,5	29,9	16,0	16,14	6,2	14,2
